Chamber,Sample,Sample,Sample,Sample,EvaGreen,EvaGreen,EvaGreen,Ct,Ct,Ct,Ct,Delta Ct Sample,Delta Ct Sample,Delta Ct Sample,Delta Ct Reagent,Delta Ct Reagent,Delta Ct Reagent,Delta Delta Ct,Delta Delta Ct,Delta Delta Ct,Delta Delta Ct,Tm,Tm,Tm,Defined
ID,Name,Type,rConc,Reference,Name,Type,Reference,Value,Quality,Call,Threshold,Value,Quality,Call,Value,Quality,Call,Value,Fold Change,Quality,Call,In Range,Out Range,Peak Ratio,Comments
S02-A05,Ref 397-398-399,Reference,1,,Cxcl10,Test,Aldh1l1,17.6526313,1,Pass,0.023030415,0.697168745,1,Pass,2.331755197,1,Pass,0.697168745,0.616781439,1,Pass,82.23856415,999,1,
S02-A06,Ref 397-398-399,Reference,1,,Serpina3n,Test,Aldh1l1,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S02-A07,Ref 397-398-399,Reference,1,,Clcf1,Test,Aldh1l1,23.04114933,1,Pass,0.023030415,1.186168184,1,Pass,7.720273232,1,Pass,1.186168184,0.439468546,1,Pass,87.43975274,999,1,
S02-A08,Ref 397-398-399,Reference,1,,Sphk1,Test,Aldh1l1,20.51662075,1,Pass,0.023030415,-0.210084322,1,Pass,5.195744645,1,Pass,-0.210084322,1.156755792,1,Pass,85.07260418,999,1,
S02-A09,Ref 397-398-399,Reference,1,,Slc10a6,Test,Aldh1l1,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S02-A10,Ref 397-398-399,Reference,1,,H2-T23,Test,Aldh1l1,16.3174056,1,Pass,0.023030415,0.521520311,1,Pass,0.996529499,1,Pass,0.521520311,0.69663733,1,Pass,83.42155519,999,1,
S02-A11,Ref 397-398-399,Reference,1,,Iigp1,Test,Aldh1l1,21.22714874,1,Pass,0.023030415,0.476101802,1,Pass,5.906272637,1,Pass,0.476101802,0.718917535,1,Pass,84.04447242,999,1,
S02-A12,Ref 397-398-399,Reference,1,,Fkbp5,Test,Aldh1l1,15.17464086,1,Pass,0.023030415,0.264172175,1,Pass,-0.146235241,1,Pass,0.264172175,0.832676391,1,Pass,82.38573823,999,1,
S02-A13,Ref 397-398-399,Reference,1,,Gfap,Test,Aldh1l1,14.03312273,1,Pass,0.023030415,0.576670847,1,Pass,-1.287753366,1,Pass,0.576670847,0.670509256,1,Pass,88.83849456,999,1,
S02-A14,Ref 397-398-399,Reference,1,,Ptprc (Cd45),Test,Rplp0,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S02-A15,Ref 397-398-399,Reference,1,,Sox10,Test,Rplp0,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S02-A16,Ref 397-398-399,Reference,1,,Steap4,Test,Aldh1l1,22.08688755,1,Pass,0.023030415,-0.04479631,1,Pass,6.766011449,1,Pass,-0.04479631,1.031537529,1,Pass,85.86868351,999,1,
S02-A17,Ref 397-398-399,Reference,1,,Cxcl10,Test,Aldh1l1,17.86055627,1,Pass,0.023030415,0.905093714,1,Pass,2.539680166,1,Pass,0.905093714,0.533998016,1,Pass,82.02249134,999,1,
S02-A18,Ref 397-398-399,Reference,1,,Serpina3n,Test,Aldh1l1,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S02-A19,Ref 397-398-399,Reference,1,,Clcf1,Test,Aldh1l1,22.81673219,1,Pass,0.023030415,0.961751041,1,Pass,7.495856089,1,Pass,0.961751041,0.513433366,1,Pass,87.4854993,999,1,
S02-A20,Ref 397-398-399,Reference,1,,Sphk1,Test,Aldh1l1,20.99359498,1,Pass,0.023030415,0.26688991,1,Pass,5.672718877,1,Pass,0.26688991,0.83110928,1,Pass,84.94935396,999,1,
S02-A21,Ref 397-398-399,Reference,1,,Slc10a6,Test,Aldh1l1,22.25947389,1,Pass,0.023030415,-0.437941686,1,Pass,6.938597793,1,Pass,-0.437941686,1.354670221,1,Pass,86.66770768,999,1,
